data_id,question,answer,tokens,token_count
13,日本にはアカ、チゴ、オオカラなどの種類が生息する、獲物を枝に刺す「はやにえ」の習性で知られる鳥は何でしょう？,百舌鳥(もず),|日本|に|は|アカ|、|チゴ|、|オオ|カラ|など|の|種類|が|生息|する|、|獲物|を|枝|に|刺す|「はやにえ」|の|習性|で|知ら|れる|鳥|は|何|でしょう|？|,32
14,本名をアンドレイ・フリードマンという、自伝『ちょっとピンぼけ』で知られるハンガリー生まれの戦争写真家は誰でしょう？,ロバート・キャパ(Robert Capa),|本名|を|アンドレイ|・|フリードマン|と|いう|、|自伝|『|ちょっと|ピンぼけ|』|で|知ら|れる|ハンガリー|生まれ|の|戦争写真|家|は|誰|でしょう|？|,25
15,江戸時代から続く老舗ホテル「つづれ屋」を舞台とした、藤子・F・不二雄の名作マンガは何でしょう？,『21エモン』(にじゅういちえもん),|江戸時代|から|続く|老舗|ホテル|「つづれ屋」|を|舞台|と|し|た|、|藤子|・|F|・|不二雄|の|名作|マンガ|は|何|でしょう|？|,24
16,インターネットサービスのFacebookやTwitterで、投稿を時系列に表示したものを何というでしょう？,タイムライン※「TL」も○。,|インターネット|サービス|の|Facebook|や|Twitter|で|、|投稿|を|時系列|に|表示|し|た|もの|を|何|と|いう|でしょう|？|,22
17,1996年に世界で初めてDVDソフトを発売した歌手で、山口百恵に提供した『いい日旅立ち』の作詞・作曲や代表曲『昴』で知られるのは誰でしょう？,谷村新司(たにむら・しんじ),|1996|年|に|世界|で|初めて|DVD|ソフト|を|発売|し|た|歌手|で|、|山口百恵|に|提供|し|た|『いい日旅立ち』|の|作詞|・|作曲|や|代表曲|『昴』|で|知ら|れる|の|は|誰|でしょう|？|,36
18,『シートン動物記』の第1話に登場する、狼の王の名前は何でしょう？,ロボ,|『|シートン|動物|記|』|の|第|1|話|に|登場|する|、|狼|の|王|の|名前|は|何|でしょう|？|,22
19,オリンピックで行われるシンクロナイズドスイミングの「チーム」は何人で構成されているでしょう？,8人,|オリンピック|で|行わ|れる|シンクロナイズドスイミング|の|「チーム」|は|何|人|で|構成|さ|れ|て|いる|でしょう|？|,18
20,ロバート・フィッツロイ船長の下、1831年にチャールズ・ダーウィンが動植物の調査を行うために乗った測量船の名前は何号でしょう？,ビーグル(号)(Beagle),|ロバート|・|フィッツロイ|船長|の|下|、|1831|年|に|チャールズ|・|ダーウィン|が|動植物|の|調査|を|行う|ため|に|乗っ|た|測量|船|の|名前|は|何号|でしょう|？|,31
21,昨年(2012年)、全編英語の新作『ヴァンパイア』が日本で公開された、『スワロウテイル』『リリィ・シュシュのすべて』などの代表作がある映画監督は誰でしょう？,岩井俊二(いわい・しゅんじ),|昨年(2012年)|、|全編英語|の|新作|『ヴァンパイア』|が|日本|で|公開|さ|れ|た|、|『|スワロウテイル|』|『|リリ|ィ|・|シュシュ|の|すべて|』|など|の|代表|作|が|ある|映画監督|は|誰|でしょう|？|,36
22,ニューヨークヤンキースのNとYを併せたロゴを考案した、ニューヨークに本社を置く有名なブランドは何でしょう？,ティファニー(Tiffany & Co.),|ニューヨーク|ヤンキース|の|N|と|Y|を|併せ|た|ロゴ|を|考案|し|た|、|ニューヨーク|に|本社|を|置く|有名|な|ブランド|は|何|でしょう|？|,27
23,エタノールが酸化するとアセトアルデヒトになりますが、アセトアルデヒトが酸化すると何になるでしょう？,酢酸,|エタノール|が|酸化|する|と|アセトアルデヒト|に|なり|ます|が|、|アセトアルデヒト|が|酸化|する|と|何|に|なる|でしょう|？|,21
24,東海道五十三次を模した庭園で有名な、熊本市中央区にある公園は何でしょう？,水前寺公園(すいぜんじこうえん),|東海道五十三|次|を|模し|た|庭園|で|有名|な|、|熊本市中央区|に|ある|公園|は|何|でしょう|？|,18
25,大相撲で、行司の最高位は立行司ですが、床山の最高位は何というでしょう？,特等床山,|大|相撲|で|、|行司|の|最高|位|は|立|行司|です|が|、|床山|の|最高|位|は|何|と|いう|でしょう|？|,24
26,ドレフュス事件に際し、「われ弾劾す」で始まる記事を新聞に寄稿した、代表作に『居酒屋』や『ナナ』などがあるフランスの小説家は誰でしょう？,エミール・ゾラ(Émile Zola),|ドレフュス|事件|に|際し|、|「われ弾劾す」|で|始まる|記事|を|新聞|に|寄稿|し|た|、|代表|作|に|『居酒屋』|や|『ナナ』|など|が|ある|フランス|の|小説|家|は|誰|でしょう|？|,33
27,4拍子の楽譜で、2分音符の2倍の長さを表すのは「何音符」でしょう？,全音符,|4|拍子|の|楽譜|で|、|2|分音符|の|2|倍|の|長|さ|を|表す|の|は|「何音符」|でしょう|？|,21
28,ユーロ紙幣の裏面に共通して描かれている、ヨーロッパ連合の協力性を象徴する建築物は何でしょう？,橋,|ユーロ|紙幣|の|裏面|に|共通|し|て|描か|れ|て|いる|、|ヨーロッパ|連合|の|協力|性|を|象徴|する|建築|物|は|何|でしょう|？|,27
29,「オーツ麦」や「オート麦」とも呼ばれる、シリアルの一種・オートミールに用いられるイネ科の穀物は何でしょう？,燕麦(えんばく)※「カラスムギ」も○。,|「オーツ麦」|や|「オート麦」|と|も|呼ば|れる|、|シリアル|の|一種|・|オートミール|に|用い|られる|イネ|科|の|穀物|は|何|でしょう|？|,24
30,812年に宮中で日本最初の花見を行ったとも言われる第52代天皇で、空海、橘逸勢(たちばなの・はやなり)と共に三筆に数えられるのは誰でしょう？,嵯峨天皇(さがてんのう),|812|年|に|宮中|で|日本最初|の|花見|を|行っ|た|と|も|言わ|れる|第|52|代天皇|で|、|空海|、|橘逸勢|と|共|に|三|筆|に|数え|られる|の|は|誰|でしょう|？|,36
31,北欧の携帯電話会社で、「エリクソン」の本社はスウェーデンにありますが、「ノキア」の本社がある国はどこでしょう？,フィンランド共和国,|北欧|の|携帯電話会社|で|、|「エリクソン」|の|本社|は|スウェーデン|に|あり|ます|が|、|「ノキア」|の|本社|が|ある|国|は|どこ|でしょう|？|,25
32,8128、496、28、6などがこれにあたる、その数自身を除く約数の和がその数と同じになる数を何というでしょう？,完全数(かんぜんすう),|8128|、|496|、|28|、|6|など|が|これ|に|あたる|、|その|数自身|を|除く|約数|の|和|が|その|数|と|同じ|に|なる|数|を|何|と|いう|でしょう|？|,34
33,1926年にジョセフ・ドラップスがブリュッセルで創業した、世界的な高級チョコレートメーカーは何でしょう？,ゴディバ(GODIVA),|1926|年|に|ジョセフ|・|ドラップス|が|ブリュッセル|で|創業|し|た|、|世界|的|な|高級|チョコレート|メーカー|は|何|でしょう|？|,23
34,俗に「泣いて褒める」といわれる2つのものとは、ワサビと何でしょう？,浄瑠璃,|俗|に|「泣いて褒める」|と|いわ|れる|2|つ|の|もの|と|は|、|ワサビ|と|何|でしょう|？|,18
35,マニラは「東洋の」、ミコノス島は「エーゲ海の」、ブダペストは「ドナウ川の」、と言えば、共通して例えられる宝石は何でしょう？,真珠,|マニラ|は|「東洋の」|、|ミコノス|島|は|「エーゲ海の」|、|ブダペスト|は|「ドナウ川の」|、|と|言え|ば|、|共通|し|て|例え|られる|宝石|は|何|でしょう|？|,27
36,Jリーグ「大宮アルディージャ」のアルディージャの語源となった動物は何でしょう？,リス,|J|リーグ|「|大宮|アルディージャ|」|の|アルディージャ|の|語源|と|なっ|た|動物|は|何|でしょう|？|,18
37,日本にある市のうち、その名称に数の単位の「万」が含まれる2つの市とは、伊万里市とどこでしょう？,四万十市,|日本|に|ある|市|の|うち|、|その|名称|に|数|の|単位|の|「万」|が|含ま|れる|2|つ|の|市|と|は|、|伊万里市|と|どこ|でしょう|？|,30
38,「ピンクリボン運動」や「マンモグラフィー検査」といえば、女性に多いどんな病気に関わる言葉でしょう？,乳がん,|「|ピンク|リボン|運動|」|や|「|マンモグラフィー|検査|」|と|いえ|ば|、|女性|に|多い|どんな|病気|に|関わる|言葉|でしょう|？|,24
39,アメリカ大統領のバラク・オバマが、2008年の選挙で破った相手はジョン・マケインでしたが、2012年の選挙で破った相手は誰だったでしょう？,ミット・ロムニー,|アメリカ|大統領|の|バラク|・|オバマ|が|、|2008|年|の|選挙|で|破っ|た|相手|は|ジョン|・|マケイン|でし|た|が|、|2012|年|の|選挙|で|破っ|た|相手|は|誰|だっ|た|でしょう|？|,38
40,評論家の生田長江(いくた・ちょうこう)が「ブルーストッキング」を和訳して命名した、1911年に平塚らいてうらが創刊した文芸誌は何でしょう？,『青鞜』(せいとう),|評論|家|の|生田長江|が|「|ブルー|ストッキング|」|を|和訳|し|て|命名|し|た|、|1911|年|に|平塚|らいてう|ら|が|創刊|し|た|文芸|誌|は|何|でしょう|？|,33
41,「狼」という字を使った熟語で、あわてふためくことは「狼狽(ろうばい)」といいますが、乱暴を働くことは何というでしょう？,狼藉(ろうぜき),|「狼」|と|いう|字|を|使っ|た|熟語|で|、|あわてふためく|こと|は|「狼狽」|と|いい|ます|が|、|乱暴|を|働く|こと|は|何|と|いう|でしょう|？|,29
42,1938年にテニスの4大トーナメントを制して初の年間グランドスラムを達成した、アメリカの選手は誰でしょう？,ドン・バッジ(Don Budge),|1938|年|に|テニス|の|4|大|トーナメント|を|制し|て|初|の|年間|グランドスラム|を|達成|し|た|、|アメリカ|の|選手|は|誰|でしょう|？|,27
43,プーシキンの小説『大尉の娘』の背景になっている、1773年にエカテリーナ2世統治時代のロシアで起きた大規模な農民反乱は何でしょう？,プガチョフの乱(Pugachev's Rebellion),|プーシキン|の|小説|『大尉の娘』|の|背景|に|なっ|て|いる|、|1773|年|に|エカテリーナ|2|世|統治時代|の|ロシア|で|起き|た|大|規模|な|農民反乱|は|何|でしょう|？|,31
44,英語では「オーバーオール」と呼ばれる、上下がつなぎ状になっている胸当てつきのズボンのことを、フランス語で何というでしょう？,サロペット(salopette),|英語|で|は|「|オーバーオール|」|と|呼ば|れる|、|上下|が|つなぎ|状|に|なっ|て|いる|胸当て|つき|の|ズボン|の|こと|を|、|フランス|語|で|何|と|いう|でしょう|？|,34
45,2006年に証券取引法を改正して制定された、インサイダー取引や風説の流布(るふ)を禁じている法律は何でしょう？,金融商品取引法(きんゆうしょうひんとりひきほう),|2006|年|に|証券取引法|を|改正|し|て|制定|さ|れ|た|、|インサイダー|取引|や|風説|の|流布|を|禁じ|て|いる|法律|は|何|でしょう|？|,28
46,ベータ星のゴメイサとアルファ星のプロキオンから成る、冬に見られる星座は何でしょう？,こいぬ座,|ベータ|星|の|ゴメイサ|と|アルファ|星|の|プロキオン|から|成る|、|冬|に|見|られる|星座|は|何|でしょう|？|,21
47,ウルグアイの作曲家ヘラルド・マトス・ロドリゲスが作曲した、スペイン語で「仮装行列」という名を持つタンゴの名曲は何でしょう？,『ラ・クンパルシータ』(La Cumparsita),|ウルグアイ|の|作曲|家|ヘラルド|・|マトス・ロドリゲス|が|作曲|し|た|、|スペイン|語|で|「仮装行列」|と|いう|名|を|持つ|タンゴ|の|名曲|は|何|でしょう|？|,28
48,人気女優の忽那汐里(くつな・しおり)、剛力彩芽(ごうりき・あやめ)、上戸彩らが所属している芸能プロダクションはどこでしょう？,オスカープロモーション,|人気女優|の|忽那汐里|、|剛力彩芽|、|上戸彩|ら|が|所属|し|て|いる|芸能|プロダクション|は|どこ|でしょう|？|,19
49,かつて「小ロシア」と呼ばれたのはウクライナですが、「白ロシア(はくロシア)」と呼ばれた国は現在のどこでしょう？,ベラルーシ共和国,|かつて|「小ロシア」|と|呼ば|れ|た|の|は|ウクライナ|です|が|、|「白ロシア」|と|呼ば|れ|た|国|は|現在|の|どこ|でしょう|？|,24
50,糠漬けを作る際に用いる、糠に塩・水等を加えたものを何というでしょう？,糠床(ぬかどこ),|糠漬け|を|作る|際|に|用いる|、|糠|に|塩|・|水|等|を|加え|た|もの|を|何|と|いう|でしょう|？|,23
51,仏教芸術で、普賢菩薩は象に乗った姿で表されますが、文殊菩薩はどんな動物に乗った姿で表されるでしょう？,獅子,|仏教芸術|で|、|普賢菩薩|は|象|に|乗っ|た|姿|で|表さ|れ|ます|が|、|文殊菩薩|は|どんな|動物|に|乗っ|た|姿|で|表さ|れる|でしょう|？|,29
52,カナダ・オンタリオ州在住の日本人絵本作家で、人気絵本シリーズ『バムとケロ』で知られるのは誰でしょう？,島田(しまだ)ゆか,|カナダ|・|オンタリオ|州在住|の|日本|人|絵本作家|で|、|人気絵本|シリーズ|『バムとケロ』|で|知ら|れる|の|は|誰|でしょう|？|,21
53,一部に気を取られて全体を見失ってしまうことを例えて、「木を見て何を見ず」というでしょう？,森,|一部|に|気|を|取ら|れ|て|全体|を|見失っ|て|しまう|こと|を|例え|て|、|「|木|を|見|て|何|を|見|ず|」|と|いう|でしょう|？|,31
54,ベートーヴェンのオペラ『フィデリオ』で、夫・フロレスタンの救出に向かう主人公の名前は何でしょう？,レオノーレ,|ベートーヴェン|の|オペラ|『フィデリオ』|で|、|夫|・|フロレスタン|の|救出|に|向かう|主人|公|の|名前|は|何|でしょう|？|,21
55,多くの民族が混在し、幾度となく紛争が起きたことから「ヨーロッパの火薬庫」と呼ばれるヨーロッパ南東部の半島はどこでしょう？,バルカン半島(Balkan),|多く|の|民族|が|混在|し|、|幾度|と|なく|紛争|が|起き|た|こと|から|「|ヨーロッパ|の|火薬|庫|」|と|呼ば|れる|ヨーロッパ|南東部|の|半島|は|どこ|でしょう|？|,33
56,毎年12月に全国高校駅伝が開催される都市はどこでしょう？,京都市,|毎年|12|月|に|全国高校駅伝|が|開催|さ|れる|都市|は|どこ|でしょう|？|,14
57,家庭で使われる電気の使用量の単位はキロワットアワーですが、水道の使用量の単位は何でしょう？,立方メートル,|家庭|で|使わ|れる|電気|の|使用量|の|単位|は|キロワット|アワー|です|が|、|水道|の|使用量|の|単位|は|何|でしょう|？|,24
58,2人の名前から「Wノブユキ」というコンビ名にする案もあった、土屋伸之(つちや・のぶゆき)と塙宣之(はなわ・のぶゆき)から成るお笑いコンビは何でしょう？,ナイツ,|2|人|の|名前|から|「Wノブユキ」|と|いう|コンビ|名|に|する|案|も|あっ|た|、|土屋伸之|と|塙宣之|から|成る|お|笑い|コンビ|は|何|でしょう|？|,29
59,能登国の七尾城を攻め落とした際に『九月十三夜陣中の作』と題した詩を詠んだ、武田信玄のライバルとして有名な戦国武将は誰でしょう？,上杉謙信(うえすぎ・けんしん),|能登|国|の|七尾|城|を|攻め落とし|た|際|に|『|九|月|十|三|夜|陣中|の|作|』|と|題し|た|詩|を|詠ん|だ|、|武田信玄|の|ライバル|と|し|て|有名|な|戦国武将|は|誰|でしょう|？|,41
60,耳鼻科医などが頭に着けている、中央に穴が開いた鏡のことを何というでしょう？,額帯鏡(がくたいきょう),|耳鼻|科|医|など|が|頭|に|着け|て|いる|、|中央|に|穴|が|開い|た|鏡|の|こと|を|何|と|いう|でしょう|？|,26
61,2007年には滝田洋二郎(たきた・ようじろう)監督で映画化された、ピッチャーの原田巧(はらだ・たくみ)とキャッチャーの永倉豪(ながくら・ごう)の1年間を描いた、あさのあつこの小説は何でしょう？,『バッテリー』,|2007|年|に|は|滝田洋二郎監督|で|映画|化|さ|れ|た|、|ピッチャー|の|原田巧|と|キャッチャー|の|永倉豪|の|1|年間|を|描い|た|、|あさのあつこ|の|小説|は|何|でしょう|？|,33
62,夏季大会は1968年にシカゴで第1回が開催された、知的発達障害者のための国際スポーツ大会は何でしょう？,スペシャルオリンピックス(Special Olympics),|夏季大会|は|1968|年|に|シカゴ|で|第|1|回|が|開催|さ|れ|た|、|知的|発達障害|者|の|ため|の|国際|スポーツ|大会|は|何|でしょう|？|,29
63,昨年10月に脳幹出血のため59歳で亡くなった、代表曲に『セクシャル・バイオレットNO.1』があるミュージシャンは誰でしょう？,桑名正博(くわな・まさひろ),|昨年|10|月|に|脳幹出血|の|ため|59|歳|で|亡くなっ|た|、|代表曲|に|『|セクシャル|・|バイオレット|NO|.|1|』|が|ある|ミュージシャン|は|誰|でしょう|？|,30
64,その時の元号から「寛文蝦夷蜂起(かんぶんえぞほうき)」とも呼ばれる、1669年に松前藩の支配に対してアイヌ民族が起こした反乱を何というでしょう？,シャクシャインの乱,|その|時|の|元号|から|「寛文蝦夷蜂起」|と|も|呼ば|れる|、|1669|年|に|松前藩|の|支配|に|対し|て|アイヌ|民族|が|起こし|た|反乱|を|何|と|いう|でしょう|？|,32
65,「眉をひそめる」という意味がある二字熟語で、人に嫌な顔をされ軽蔑されるときに「買う」といわれるのは何でしょう？,顰蹙(ひんしゅく),|「眉をひそめる」|と|いう|意味|が|ある|二字熟語|で|、|人|に|嫌|な|顔|を|さ|れ|軽蔑|さ|れる|とき|に|「買う」|と|いわ|れる|の|は|何|でしょう|？|,31
66,登山の用語で、複数の山の頂上を尾根伝いにたどっていくことを日本語で何というでしょう？,縦走,|登山|の|用語|で|、|複数|の|山|の|頂上|を|尾根|伝い|に|たどっ|て|いく|こと|を|日本語|で|何|と|いう|でしょう|？|,26
67,作物を生産するだけでなく、加工から販売までを事業の視野に入れて行われる農業のことを「第何次産業」というでしょう？,第6次産業,|作物|を|生産|する|だけ|で|なく|、|加工|から|販売|まで|を|事業|の|視野|に|入れ|て|行わ|れる|農業|の|こと|を|「第何次産業」|と|いう|でしょう|？|,30
68,盛岡市の西に位置する岩手県の村で、現在日本一人口の多い村となっているのはどこでしょう？,滝沢村(たきざわむら),|盛岡市|の|西|に|位置|する|岩手県|の|村|で|、|現在日本一人口|の|多い|村|と|なっ|て|いる|の|は|どこ|でしょう|？|,24
69,真珠の養殖に用いられるクロチョウガイやアコヤガイといえば、何科に属する貝でしょう？,ウグイスガイ科,|真珠|の|養殖|に|用い|られる|クロチョウガイ|や|アコヤガイ|と|いえ|ば|、|何|科|に|属する|貝|でしょう|？|,20
70,アニメキャラクター・ケロロ軍曹の大好物でもある、サツマイモを小麦粉の皮で包んで作る、熊本の銘菓は何でしょう？,いきなり団子,|アニメ|キャラクター|・|ケロロ|軍曹|の|大|好物|で|も|ある|、|サツマイモ|を|小麦粉|の|皮|で|包ん|で|作る|、|熊本|の|銘菓|は|何|でしょう|？|,29
71,FIFAの国際試合で、サッカーA代表の公式戦は45分ハーフで行われますが、フットサルA代表の公式戦は何分ハーフで行われるでしょう？,20分,|FIFA|の|国際試合|で|、|サッカー|A|代表|の|公式|戦|は|45|分|ハーフ|で|行わ|れ|ます|が|、|フットサル|A|代表|の|公式|戦|は|何分|ハーフ|で|行わ|れる|でしょう|？|,35
72,原子番号1の元素は水素、原子番号11の元素はナトリウムですが、原子番号111、元素記号Rgの元素は何でしょう？,レントゲニウム,|原子番号|1|の|元素|は|水素|、|原子番号|11|の|元素|は|ナトリウム|です|が|、|原子番号|111|、|元素記号|Rg|の|元素|は|何|でしょう|？|,27
73,インナーマッスルを鍛える呼吸法「ロングブレス」を用いたダイエットで話題を集めている俳優は誰でしょう？,美木良介(みき・りょうすけ),|インナー|マッスル|を|鍛える|呼吸|法|「ロングブレス」|を|用い|た|ダイエット|で|話題|を|集め|て|いる|俳優|は|誰|でしょう|？|,22
74,漢字の部首で、「さんずい」は水を表しますが、「にすい」は何を表しているでしょう？,氷,|漢字|の|部首|で|、|「さんずい」|は|水|を|表し|ます|が|、|「にすい」|は|何|を|表し|て|いる|でしょう|？|,22
75,「灰色の男たち」から奪われた時間を取り戻すために戦う少女を主人公とする、ドイツの作家ミヒャエル・エンデの児童文学は何でしょう？,『モモ』(Momo),|「灰色の男たち」|から|奪わ|れ|た|時間|を|取り戻す|ため|に|戦う|少女|を|主人|公|と|する|、|ドイツ|の|作家|ミヒャエル|・|エンデ|の|児童文学|は|何|でしょう|？|,30
76,愛知県半田市に本社を置く調味料メーカーで、主力商品に「味ぽん」があるのはどこでしょう？,ミツカン,|愛知県半田市|に|本社|を|置く|調味|料|メーカー|で|、|主力商品|に|「味ぽん」|が|ある|の|は|どこ|でしょう|？|,20
77,樋口了一のものは「親愛なる子供たちへ」、アンジェラ・アキのものは「拝啓十五の君へ」のサブタイトルが付けられている曲に共通するタイトルは何でしょう？,『手紙』,|樋口了一|の|もの|は|「|親愛|なる|子供|たち|へ|」|、|アンジェラ|・|アキ|の|もの|は|「|拝啓|十|五|の|君|へ|」|の|サブタイトル|が|付け|られ|て|いる|曲|に|共通|する|タイトル|は|何|でしょう|？|,42
78,その業績の広さから「口紅から機関車まで」と評された、インダストリアルデザインの草分けとされるアメリカ人デザイナーは誰でしょう？,レイモンド・ローウィ(Raymond Loewy),|その|業績|の|広|さ|から|「|口紅|から|機関|車|まで|」|と|評さ|れ|た|、|インダストリアルデザイン|の|草分け|と|さ|れる|アメリカ|人|デザイナー|は|誰|でしょう|？|,31
79,大きさによって「タヒチ」と「メキシカン」の2種類に大別される、レモンをやや小ぶりにしたような形の柑橘類は何でしょう？,ライム,|大き|さ|に|よっ|て|「タヒチ」|と|「メキシカン」|の|2|種類|に|大別|さ|れる|、|レモン|を|やや|小ぶり|に|し|た|よう|な|形|の|柑橘|類|は|何|でしょう|？|,33
80,「外国と通謀して日本国に対し武力を行使させた者は、死刑に処する。」と刑法第81条で規定されている犯罪は何でしょう？,外患誘致罪,|「|外国|と|通謀|し|て|日本|国|に|対し|武力|を|行使|さ|せ|た|者|は|、|死刑|に|処する|。|」|と|刑法|第|81|条|で|規定|さ|れ|て|いる|犯罪|は|何|でしょう|？|,40
81,「あづま路の道の果てよりも、なほ奥つ方に生いい出たる人、いかばかりかはあやしかりけむを……」という書き出しで始まる、菅原孝標女(すがわらたかすえのむすめ)が書いた日記文学は何でしょう？,『更級日記』(さらしなにっき),|「|あづま路|の|道|の|果て|より|も|、|な|ほ|奥|つ|方|に|生|いい出|たる|人|、|いか|ばかり|か|は|あやしかり|けむ|を|…|…|」|と|いう|書き出し|で|始まる|、|菅原孝標女|が|書い|た|日記文学|は|何|でしょう|？|,45
82,英雄伝説を題材とした正統派のオペラを「オペラ・セリア」というのに対して、庶民の生活を題材とした喜劇的なオペラを何と言うでしょう？,オペラ・ブッファ,|英雄伝説|を|題材|と|し|た|正統|派|の|オペラ|を|「|オペラ|・|セリア|」|と|いう|の|に|対し|て|、|庶民|の|生活|を|題材|と|し|た|喜劇|的|な|オペラ|を|何|と|言う|でしょう|？|,41
83,もともとは大木を植え替える時の準備作業のことで、転じて、あることを実現しやすいように、予め周りの人達などに話をつけておくことを何というでしょう？,根回し,|もともと|は|大木|を|植え替える|時|の|準備作業|の|こと|で|、|転じ|て|、|ある|こと|を|実現|し|やすい|よう|に|、|予め|周り|の|人|達|など|に|話|を|つけ|て|おく|こと|を|何|と|いう|でしょう|？|,43
84,電化製品を使っていない時でもコンセントに接続しているだけで消費される微少な電力のことを一般に「何電力」というでしょう？,待機電力,|電化|製|品|を|使っ|て|い|ない|時|で|も|コンセント|に|接続|し|て|いる|だけ|で|消費|さ|れる|微少|な|電力|の|こと|を|一般|に|「何電力」|と|いう|でしょう|？|,35
85,本州と九州を結ぶ関門国道トンネルの中を通っている国道は何号線でしょう？,国道2号線,|本州|と|九州|を|結ぶ|関門国道|トンネル|の|中|を|通っ|て|いる|国道|は|何号線|でしょう|？|,18
86,クルーザーなどのヨットの底に突き出した形で固定されている、横流れを防ぐひれ状の板を何というでしょう？,フィンキール,|クルーザー|など|の|ヨット|の|底|に|突き出し|た|形|で|固定|さ|れ|て|いる|、|横流れ|を|防ぐ|ひれ|状|の|板|を|何|と|いう|でしょう|？|,30
87,『一週間』、『コロブチカ』、『トロイカ』と言えば、いずれも現在の何という国で生まれた曲でしょう？,ロシア連邦(Russian Federation),|『一週間』|、|『コロブチカ』|、|『トロイカ』|と|言え|ば|、|いずれ|も|現在|の|何|と|いう|国|で|生まれ|た|曲|でしょう|？|,23
88,舟橋聖一(ふなはし・せいいち)の小説『花の生涯』の主人公である、1860年に桜田門外の変で暗殺された江戸幕府の大老は誰でしょう？,井伊直弼(いい・なおすけ),|舟橋聖一|の|小説|『花の生涯』|の|主人|公|で|ある|、|1860|年|に|桜田門|外|の|変|で|暗殺|さ|れ|た|江戸幕府|の|大老|は|誰|でしょう|？|,29
89,ウガンダ、ケープ、アミメ、マサイなどの種類がいる、首の長い動物は何でしょう？,キリン,|ウガンダ|、|ケープ|、|アミ|メ|、|マサイ|など|の|種類|が|いる|、|首|の|長い|動物|は|何|でしょう|？|,22
90,日本の通常国会の会期は150日ですが、その延長は何回まで認められているでしょう？,1回,|日本|の|通常国会|の|会期|は|150|日|です|が|、|その|延長|は|何回|まで|認め|られ|て|いる|でしょう|？|,22
